table,record_id,column,rule,severity,details,severity_rank
customers,C100704,customer_id,unique,high,duplicate customer_id,3
customers,C103688,customer_id,unique,high,duplicate customer_id,3
customers,C100066,customer_id,unique,high,duplicate customer_id,3
customers,C102856,customer_id,unique,high,duplicate customer_id,3
customers,C100088,customer_id,unique,high,duplicate customer_id,3
customers,C100121,customer_id,unique,high,duplicate customer_id,3
customers,C100133,customer_id,unique,high,duplicate customer_id,3
customers,C104946,customer_id,unique,high,duplicate customer_id,3
customers,C103625,customer_id,unique,high,duplicate customer_id,3
customers,C100190,customer_id,unique,high,duplicate customer_id,3
customers,C100218,customer_id,unique,high,duplicate customer_id,3
customers,C103639,customer_id,unique,high,duplicate customer_id,3
customers,C100190,customer_id,unique,high,duplicate customer_id,3
customers,C100308,customer_id,unique,high,duplicate customer_id,3
customers,C101593,customer_id,unique,high,duplicate customer_id,3
customers,C100386,customer_id,unique,high,duplicate customer_id,3
customers,C100451,customer_id,unique,high,duplicate customer_id,3
customers,C103927,customer_id,unique,high,duplicate customer_id,3
customers,C100507,customer_id,unique,high,duplicate customer_id,3
customers,C104446,customer_id,unique,high,duplicate customer_id,3
customers,C100521,customer_id,unique,high,duplicate customer_id,3
customers,C103538,customer_id,unique,high,duplicate customer_id,3
customers,C100583,customer_id,unique,high,duplicate customer_id,3
customers,C100589,customer_id,unique,high,duplicate customer_id,3
customers,C100595,customer_id,unique,high,duplicate customer_id,3
customers,C104197,customer_id,unique,high,duplicate customer_id,3
customers,C100635,customer_id,unique,high,duplicate customer_id,3
customers,C100218,customer_id,unique,high,duplicate customer_id,3
customers,C102137,customer_id,unique,high,duplicate customer_id,3
customers,C100704,customer_id,unique,high,duplicate customer_id,3
customers,C100859,customer_id,unique,high,duplicate customer_id,3
customers,C101983,customer_id,unique,high,duplicate customer_id,3
customers,C100737,customer_id,unique,high,duplicate customer_id,3
customers,C100761,customer_id,unique,high,duplicate customer_id,3
customers,C100802,customer_id,unique,high,duplicate customer_id,3
customers,C100859,customer_id,unique,high,duplicate customer_id,3
customers,C100993,customer_id,unique,high,duplicate customer_id,3
customers,C100899,customer_id,unique,high,duplicate customer_id,3
customers,C100921,customer_id,unique,high,duplicate customer_id,3
customers,C100953,customer_id,unique,high,duplicate customer_id,3
customers,C103635,customer_id,unique,high,duplicate customer_id,3
customers,C102950,customer_id,unique,high,duplicate customer_id,3
customers,C100964,customer_id,unique,high,duplicate customer_id,3
customers,C100978,customer_id,unique,high,duplicate customer_id,3
customers,C100993,customer_id,unique,high,duplicate customer_id,3
customers,C101022,customer_id,unique,high,duplicate customer_id,3
customers,C101025,customer_id,unique,high,duplicate customer_id,3
customers,C100953,customer_id,unique,high,duplicate customer_id,3
customers,C100802,customer_id,unique,high,duplicate customer_id,3
customers,C101151,customer_id,unique,high,duplicate customer_id,3
customers,C100635,customer_id,unique,high,duplicate customer_id,3
customers,C101182,customer_id,unique,high,duplicate customer_id,3
customers,C101205,customer_id,unique,high,duplicate customer_id,3
customers,C103406,customer_id,unique,high,duplicate customer_id,3
customers,C101211,customer_id,unique,high,duplicate customer_id,3
customers,C101217,customer_id,unique,high,duplicate customer_id,3
customers,C100121,customer_id,unique,high,duplicate customer_id,3
customers,C100595,customer_id,unique,high,duplicate customer_id,3
customers,C100589,customer_id,unique,high,duplicate customer_id,3
customers,C100386,customer_id,unique,high,duplicate customer_id,3
customers,C101326,customer_id,unique,high,duplicate customer_id,3
customers,C101351,customer_id,unique,high,duplicate customer_id,3
customers,C101182,customer_id,unique,high,duplicate customer_id,3
customers,C104464,customer_id,unique,high,duplicate customer_id,3
customers,C101351,customer_id,unique,high,duplicate customer_id,3
customers,C101326,customer_id,unique,high,duplicate customer_id,3
customers,C101388,customer_id,unique,high,duplicate customer_id,3
customers,C104238,customer_id,unique,high,duplicate customer_id,3
customers,C101567,customer_id,unique,high,duplicate customer_id,3
customers,C104245,customer_id,unique,high,duplicate customer_id,3
customers,C101522,customer_id,unique,high,duplicate customer_id,3
customers,C101567,customer_id,unique,high,duplicate customer_id,3
customers,C101593,customer_id,unique,high,duplicate customer_id,3
customers,C103951,customer_id,unique,high,duplicate customer_id,3
customers,C101611,customer_id,unique,high,duplicate customer_id,3
