transaction_id,customer_id,transaction_date,amount,currency,channel
T500000,C104195,2025-09-02,93.21,USD,Mobile
T500001,C103061,2025-06-29,31.87,USD,Partner
T500002,C101634,2025-05-09,168.63,USD,Mobile
T500003,C102605,2025-07-17,56.22,USD,Store
T500004,C103746,2026-02-10,29.06,USD,Web
T500005,C103419,2025-02-28,0.5,USD,Web
T500006,C104449,2025-06-11,67.62,USD,Web
T500007,C104649,2025-03-22,64.3,USD,Store
T500008,C104169,2025-09-18,5.38,EUR,Partner
T500009,C102533,2026-02-10,143.0,USD,Partner
T500010,C100919,2025-11-14,2.35,USD,Partner
T500011,C101730,2025-03-02,51.73,CAD,Web
T500012,C100159,2025-06-23,50.94,USD,Web
T500013,C101003,2025-08-29,56.64,USD,Web
T500014,C104611,2026-01-13,121.36,XXX,Web
T500015,C100127,2025-02-04,74.79,CAD,Web
T500016,C100852,2025-09-19,44.17,USD,Mobile
T500017,C104720,2025-05-03,76.13,GBP,Mobile
T500018,C103620,2025-11-15,145.48,EUR,Web
T500019,C102035,2025-07-09,41.24,USD,Mobile
T500020,C100973,2025-10-27,100.81,USD,Store
T500021,C101455,2025-12-02,0.71,USD,Mobile
T500022,C101733,2025-11-08,71.36,USD,Web
T500023,C103323,2025-04-08,83.85,USD,Web
T500024,C103778,2025-04-05,47.96,USD,Web
T500025,C102511,2025-11-02,124.13,USD,Store
T500026,C103324,2025-03-21,32.39,USD,Web
T500027,C104983,2025-02-27,98.63,CAD,Mobile
T500028,C100594,2026-01-15,42.16,USD,Web
T500029,C102300,2025-08-19,75.17,EUR,Store
T500030,C104992,2025-04-16,2.55,USD,Mobile
T500031,C103801,2025-03-20,75.92,CAD,Web
T500032,C104756,2025-08-10,130.85,EUR,Web
T500033,C101876,2025-04-20,35.09,CAD,Mobile
T500034,C104115,2025-02-06,43.5,CAD,Web
T500035,C103297,2025-02-13,17.98,USD,Mobile
T500036,C102274,2025-05-05,104.72,CAD,Web
T500037,C101150,2025-10-01,78.13,CAD,Web
T500038,C102265,2025-07-14,69.92,USD,Web
T500039,C103454,2025-04-19,93.86,USD,Web
T500040,C100448,2025-09-21,34.6,USD,Mobile
T500041,C103486,,144.42,USD,Store
T500042,C100710,2025-07-25,63.01,USD,Mobile
T500043,C104682,2025-06-12,127.31,EUR,Mobile
T500044,C100799,2026-01-08,30.9,USD,Mobile
T500045,C100131,2025-05-12,52.88,USD,Web
T500046,C103658,2025-11-05,83.52,EUR,Web
T500047,C100145,2025-06-12,121.67,CAD,Web
T500048,C101540,2025-07-02,41.01,USD,Mobile
T500049,C103676,2025-05-09,81.53,USD,Web
T500050,C102802,2025-12-26,52.3,EUR,Mobile
T500051,C104917,2025-06-11,127.97,USD,Store
T500052,C101082,2025-04-12,36.68,USD,Mobile
T500053,C103046,2025-08-11,92.97,USD,Mobile
T500054,C101150,2025-04-22,49.58,USD,Mobile
T500055,C104342,2025-08-22,38.73,USD,Mobile
T500056,C103622,2025-08-23,41.7,USD,Mobile
T500057,C104568,2025-04-19,112.6,USD,Web
T500058,C101919,2025-03-17,63.83,USD,Partner
T500059,C100396,2025-04-01,87.9,EUR,Partner
T500060,C100262,2025-04-28,67.32,USD,Mobile
T500061,C102807,2025-02-08,38.58,USD,Mobile
T500062,C100353,2025-02-09,5.63,USD,Web
T500063,C103363,2025-12-28,34.26,USD,Web
T500064,C102662,2025-06-07,110.27,USD,Mobile
T500065,C103777,2025-07-11,38.3,CAD,Web
T500066,C102998,2025-09-18,73.84,USD,Mobile
T500067,C104331,2026-01-15,81.58,EUR,Web
T500068,C101669,2025-08-28,17.91,USD,Partner
T500069,C104245,2025-05-02,112.56,USD,Store
T500070,C100983,2026-01-22,21.63,EUR,Mobile
T500071,C102953,2025-08-13,51.25,USD,Web
